publish_date,headline_text
20141228,special logan soccer program brings out best in players
20030926,crude oil prices stay high after opec cut
20100107,australias hands tied as whaling war deepens
20110102,heart beat fury in melbourne
20060609,crashes spark call for driver safety
20150806,growcom discusses horticulture award
20030528,group hopes to publish mental health book
20100516,t birds thump injury hit vixens
20041227,police praised for falling crime rates
20051205,mt isa home to new road building course
20090820,qld authors on track for outback tour
20071115,downer swipes at show off rudd
20050213,refugees prepare for sudan return
20090203,researchers develop method to predict ongoing
20030627,baddeley back on course
20080620,johnstone sherman to miss crows clash
20140416,vic country hour 16 april 2014
20040827,wind farm plan to undergo next test
20121018,binders full of women meme
20030319,fleeing iraqis blocked at syrian border
20150924,beijing plus 20 women of the world on gender equality
20080713,australian researcher wins darwin medal
20060303,little kod by dope ban
20031120,top swimming coach wants defamation case expedited
20160526,former linc energy head ordered to clean up site of gas project
20030603,coat of arms theft trial to take place
20031112,bomb detector dogs to help counter terrorism
20091025,greens want conditions on asylum seeker deal
20110930,canberra seniors lobby legislative assembly
20061230,157 somali refugees presumed dead after boats
20040521,hotel blaze disrupts patrons lunch
20171128,same sex marriage bill debate moves to amendments
20071006,pakistan election given go ahead
20041112,tamil tigers aim to revive peace talks
20030324,us led attack on iraq not making any dent at all
20040903,kingsley confirmed for port
20151207,domestic violence service stocking hunter homes
20150121,nigerian army officers face court martial over alleged sabotage
20090627,grocery website backlash
20130221,expressway on target for december opening
20100314,huxley seeking return to higher honours
20050815,memorable vp commemorations despite bad weather
20100429,industry growth sparks water fears
20130821,mcgregor salvaging pride from a dispiriting ashes series
20160214,al shabaab claims responsibility for somali plane bomb
20040814,sri lanka set to crush south africa
20081005,sea eagles cause grand final upset
20100101,abbott vows to turn back asylum seekers
20100617,mourners gather for sapper moerland
20121008,wheat
20050127,police to tackle wheatbelt hoons
20100720,largest croc of the year caught in darwin
20140909,mallee district aboriginal services boosts
20070917,farmers outline push for federal water funds
20060518,qantas to cut 1000 jobs
20111105,de vanna returns to haunt roar
20130510,greenpeace blames coke for channel 9 'choke'
20151028,narromine ipart
20100714,all blacks coach chips out of shape refs
20161111,philippines malaysia agree to cooperate on tackling abu sayyaf
20141014,tamil asylum seekers detained illegally lawyers tell high court
20131126,bryant extends lakers' deal
20070411,new awb row erupts in cabinet
20080814,chinese judoka wins womens 78kg gold
20151201,stolen mobility scooter to be return to 87yo act woman
20100127,kath and kim star to make west end debut
20150416,irish tourist barry lyttle pleads guilty over assault on brother
20120118,quilpie goes months without a doctor
