publish_date,headline_text
20030219,aussie qualifier stosur wastes four memphis match
20030219,mp raises hospital concerns in parliament
20030219,mugabe to touch down in paris for summit
20030219,nsw opp defends claims of running race campaign
20030219,nth koreans seek asylum at japanese embassy
20030219,policewomen accusations feature at federal crime
20030220,bungle leaves doctor waiting to practise
20030220,concern act fire probe not covered by legal
20030220,cristal end eight match libertadores losing streak
20030220,france drop merceron gelez to face scots
20030220,lawyers set to appeal mans sept 11 conviction
20030220,more than 60 detained after immigration raid
20030220,no penalties for church over damaged monument
20030220,pilot makes emergency landing at adelaide airport
20030220,police hope to gain an edge on weapons users
20030220,ruiz hat trick as guatemala rout nicaragua
20030220,school to reopen after paint fume scare
20030220,thousands to visit dairy field days
20030220,triathletes back bris to gold coast bikeway
20030220,us to take no wto action against europe over ge
20030220,wa wine destined for us
20030221,claims more rain will boost stock prices
20030221,indian jailed for smuggling pakistani in suitcase
20030221,mayor angry over mural vandalism
20030221,owners hesitant over northerlys overseas jaunt
20030221,plan may include puckapunyal roo cull
20030221,rain expected to continue across act
20030221,sa nt to lose seats in federal parliament
20030221,telstra punished after massive hong kong write down
20030222,black day for black caps
20030222,darwin police investigate attempted sex assault
20030222,sunrace heads into gloomy final day
20030222,vic govt calls for volunteers in state clean up
20030223,accused people smuggler to face darwin court
20030223,hampshire chairman calls for review of crickets
20030223,man charged with attempted murder after stabbing
20030223,odriscoll captures record as ireland downs italy
20030223,territory on search for raw comedy talent
20030224,ajax lose ground after utrecht defeat
20030224,anti french jokes censored broadcaster complains
20030224,bomb alert delays domestic flights by philippine
20030224,boy almost drowns after being swept down storm
20030224,customs house restoration opened
20030224,england send vaughan for scan
20030224,last firies return
20030225,bevan likely to move up against namibia
20030225,collins class subs return to duty
20030225,depressed teenager goes missing in mt gambier
20030225,govt tight lipped about university reform
20030225,iraq invites delegation to confirm un cooperation
20030225,keller agrees to one year spurs extension
20030225,police association speaks out over safety issues
20030225,police raid finds cannabis plants
20030225,recycling to save millions of dollars
20030225,share market plunge with global uncertainty
20030226,arts boost to have spin offs
20030226,blake proclaims innocence over wifes murder
20030226,committee to consider stock route management
20030226,fyffe to be new bendigo mayor
20030226,heroin deaths in decline report
20030226,keegan fears city no nearer euro elite
20030226,murder trial hears phone tapes
20030226,priest puts washer on booze cycle
20030226,riot police clash with squatters in argentina
20030226,rumsfeld gives mixed view of iraqi firepower
20030226,sawmill jobs threatened by recent bushfires
20030226,search continues for firefighter
20030226,submissions flow in on chicken farm plan
20030226,tiger and els set for world match play showdown
20030226,top seeds fall at copenhagen open
20030226,trucking firm announces profit boost
20030227,bank launches initiative to combat identity fraud
20030227,blair facing party revolt over iraq stance
20030227,council to waive rates for bushfire victims
20030227,nt govt nurses sympathy for breastfeeding mps
20030227,slater double ton in blues run spree
20030227,two nsw teenagers charged with starting fires
20030227,woods advances els upset in match play event
20030228,appeals over long sentence dismissed
