publish_date,headline_text
20030221,turkey forces us to weigh up strategies
20030221,usq researchers prepare for move
20030223,pearson says bureaucracy fails indigenous welfare
20030224,enraged vajpayee tears up nam script to lash
20030227,alcohol restrictions a success say police
20030301,us restates willingness to disarm iraq
20030302,aust missile defence shield likely hill
20030302,prostitutes targeted on brisbane streets
20030304,building industry findings to be tabled before
20030304,three die as chopper crashes in jakarta pool
20030305,telstra reduces specialised services for aged
20030306,schumacher says teams working together is unfair
20030307,winnie mandela faces fraud charges
20030309,tropical fruit producers cleared to irradiate
20030312,aoc committed to sending full team to athens
20030312,iraqi community to march on mps office
20030312,qld wants national ban on dog tail docking
20030313,mozzie coil may be behind house blaze
20030315,residents in shock after plane crash
20030316,hansen regains triple jump crown
20030319,fleeing iraqis blocked at syrian border
20030320,vic artists takes out sculpture award
20030323,raikkonen leads f1 standings after maiden win
20030324,us led attack on iraq not making any dent at all
20030324,warning imported pet tortoises pose threat to act
20030325,mp seeks trading act change
20030326,country victorians to get subsidised power
20030327,rescued indonesian fishermen face charges in broome
20030329,victorian liberals to elect new president
20030330,crows thump dockers
20030330,iran wont back us regime in post war iraq
20030330,saddam nearly cut off in his prime in 1970 report
20030331,arts centre to get facelift
20030331,nt dentists call for greater incentives
20030331,six killed in afghan landmine blast
20030401,amp confirms stanbroke sale plan
20030401,wa miners winners four years in a row
20030403,china assisting north korea mediation downer
20030404,ghan tickets still not available for general public
20030404,mp issues warning over proposed media legislation
20030407,schwab survives heart scare
20030407,states should do more for homeless vanstone
20030410,liddy victims trial abandoned
20030411,tail docking practice to continue for now
20030413,heroic reds still stormers
20030414,murray river tourist boon
20030415,govt sets limit on poker machines
20030417,talks focus on heavy vehicle transport corridor
20030419,australia pledges 30m to iraq un appeal
20030421,mother wanted me to race says grieving schu
20030422,dingos days could be numbered
20030423,boaties prepare to ramp up activities
20030423,brl hardy pleads guilty to epa charges
20030426,tigers storm home to clip hawks
20030429,man appears over british backpacker murder
20030429,nt parliament begins alice sittings
20030429,some success claimed in weed fight
20030429,tarpeena mill revamp begins
20030430,reds demote kefu to bench
20030501,brereton spy claims damaging dsd
20030501,four children unhurt after melbourne bus window
20030505,stockhorse championships begin on darling downs
20030507,coalition detains regional baath leader
20030507,wheat virus fight may take months
20030509,police issue warning after drug raids
20030509,ryan ditches swimming for radio
20030511,real leave the door open for championship
20030512,aba clears macquarie in 2gb ownership inquiry
20030512,court hears broome native title claim
20030515,court orders new atsic election in nt
20030515,rain gives winter crops a kick along
20030519,australia dominates day four in sydney
20030519,red hot hodgson takes monza superbikes
20030520,maier eberharter to do battle one last year
20030521,wage cost index shows pays in check
20030522,haas pulls out of french open
20030522,hospital to adopt coroners recommendations
20030523,human tragedy worries among tobacco farmers
20030523,indigenous housing improving architecture professor
20030523,israeli woman hurt in gaza bomb attack
20030523,waugh wins waratahs award
20030525,education plans raise cost barrier labor
20030526,ajax psv win as dutch title race goes down to the
20030526,hill accepts some responsibility for g g
20030527,aussie dollar hits new heights
20030528,group hopes to publish mental health book
20030529,property crime on steep decline statistics
20030531,britain to begin repatriating iraqis
20030601,iraq tensions underscore g8 meeting
20030602,aboriginal census to be changed after accuracy
20030603,coat of arms theft trial to take place
20030604,uniform legislation urged for smoking bans
20030605,rescuers find missing angler
20030606,man charged with impersonating police officer
20030610,ullrich happy with tour warm up
20030611,sharon vows to continue targeting hamas leaders
20030612,man fined for fishing at sacred site
20030612,nsw unemployment on the rise
20030613,mayor says immigration ignoring community concerns
20030615,tassie scottish dancers join international fling
20030616,cabinet to hear drainage scheme funding options
20030617,call for more rescue vehicle trained staff
20030618,mine project gets go ahead after 10 year fight
20030619,new faces set to challenge us athletics veterans
20030619,new zealander first outsider to head oxford uni
20030619,us congress begins wmd hearings
20030624,griffith looks to become youth leader
20030627,baddeley back on course
20030627,council appoints acting mayor
20030627,dairy farmers threaten supplier change
20030627,serena subdues fighter callens
20030628,city manager keegan leads tributes to foe
20030629,former all blacks captain says haka overused
20030703,australian shares ride wall st gains
20030703,call for more vic govt drought aid
20030704,beach camel rides hit hump
20030704,farmers question garrett murray calls
20030706,now lets put cooke in yellow mcgee
20030708,new us chief in iraq pledges to defeat enemies
20030709,beckham and real get green light for hong kong
20030710,talks resume on nuclear weapons trading
20030712,maroons will raise game norton
20030713,sa oppn concerned over allegations surrounding
20030714,freo confident on farmer fitness
20030715,koperberg denies politicising rfs
20030717,community consultation planned for tank paddock
20030718,family narrowly escapes house blaze
20030719,raiders escape from tigers
20030721,new effort on to tackle calicivirus
20030723,homebuyers warned about outstanding rates on
20030725,council seeks job support for walkers workers
20030728,cattle exporter defends industry safety
20030729,us backs russian involvement in north korea talks
20030730,final whistle blows for leisure rail
20030730,iraqis protest after us raid kills civilians
20030731,cyclists converge on south east victoria
20030731,man dies in car crash
20030801,sydney airport blueprint renews labor row
20030803,govt rejects claim trade deal will push up drug
20030803,us journalist freed in aceh
20030805,griffith wins raves for broadway debut
20030806,fishers consider legal options
20030807,athletes given world champs selection extension
20030807,group ends campaign to save tamworth grace bros
20030807,hussain available for third south africa test
20030808,families react after verdict announced
20030808,real ira leader sentenced to 20 years in jail
20030808,warm ups crucial for world cup says woodward
20030809,england make changes ahead of third test
20030810,museum director concedes funding impact
20030810,roddick ends federers charge for top spot
20030810,victoria to get 85 new speed cameras
20030812,e timor militiaman jailed for crimes against
20030815,police search for 5 over sex assault
20030816,californian governor game show gets underway
20030817,rangers fight back celtic go goal crazy
20030820,farmers to get drought aid
20030821,pak seeks to defend third title of season at
20030823,call to ban strip searches in womens prisons
20030823,health insurers contract negotiations break down
20030823,teachers accept pay offer
20030825,family institute releases same sex adoption report
20030825,police search for missing woman
20030827,el guerrouj looks for fourth title
20030827,no time for preparation for samoa world cup squad
